a1,a2,a3,a4,a5,a6
-1,-9,-2,-3,-3,-3
-1,-7,-2,-3,-2,-23
-1,-7,-2,-3,-3,-12
-1,-5,-3,-3,-2,-3
-1,-4,-2,-5,-2,-27
-1,-4,-2,-5,-3,-10
-1,-4,-3,-3,-2,-9
-1,-4,-3,-3,-3,-5
-1,-3,-2,-7,-6,-51
-1,-3,-2,-11,-2,-39
-1,-3,-3,-4,-2,-31
-1,-3,-2,-7,-7,-28
-1,-3,-2,-9,-3,-21
-1,-3,-3,-4,-3,-9
-1,-3,-2,-11,-3,-8
-1,-3,-2,-9,-5,-7
-1,-3,-3,-5,-2,-7
-1,-3,-2,-21,-3,-3
-1,-3,-2,-47,-2,-3
-1,-2,-3,-7,-12,-153
-1,-2,-3,-8,-7,-112
-1,-2,-3,-16,-3,-108
-1,-2,-3,-11,-4,-97
-1,-2,-4,-13,-2,-91
-1,-2,-4,-5,-6,-87
-1,-2,-3,-7,-13,-82
-1,-2,-5,-8,-2,-75
-1,-2,-4,-7,-3,-72
-1,-2,-3,-17,-3,-57
-1,-2,-3,-18,-3,-40
-1,-2,-3,-9,-6,-37
-1,-2,-3,-12,-4,-35
-1,-2,-3,-21,-3,-23
-1,-2,-4,-17,-2,-23
-1,-2,-3,-9,-7,-21
-1,-2,-3,-12,-5,-14
-1,-2,-3,-9,-9,-13
-1,-2,-7,-7,-2,-13
-1,-2,-3,-32,-3,-12
-1,-2,-4,-29,-2,-11
-1,-2,-6,-9,-2,-11
-1,-2,-3,-49,-3,-9
-1,-2,-5,-7,-3,-9
-1,-2,-3,-12,-7,-8
-1,-2,-3,-66,-3,-8
-1,-2,-3,-13,-7,-7
-1,-2,-3,-26,-4,-7
-1,-2,-3,-117,-3,-7
-1,-2,-4,-97,-2,-7
-1,-2,-3,-21,-5,-6
-1,-2,-3,-57,-4,-5
-1,-2,-5,-43,-2,-5
-1,-2,-7,-14,-2,-5
-1,-2,-5,-27,-3,-3
-1,-2,-8,-77,-2,-3
-1,-2,-9,-42,-2,-3
-1,-2,-12,-21,-2,-3
-1,-2,-14,-17,-2,-3
