a1,a2,a3,a4,a5,a6
-1,-7,-2,-3,-2,-3
-1,-4,-2,-5,-2,-7
-1,-3,-3,-5,-2,-3
-1,-3,-3,-4,-3,-4
-1,-3,-3,-4,-2,-11
-1,-3,-2,-27,-2,-3
-1,-3,-2,-11,-2,-19
-1,-3,-2,-9,-3,-11
-1,-3,-2,-7,-7,-18
-1,-3,-2,-7,-6,-31
-1,-2,-12,-17,-2,-3
-1,-2,-9,-32,-2,-3
-1,-2,-8,-57,-2,-3
-1,-2,-5,-33,-2,-5
-1,-2,-5,-16,-2,-7
-1,-2,-5,-9,-2,-21
-1,-2,-5,-8,-2,-55
-1,-2,-5,-7,-3,-7
-1,-2,-4,-77,-2,-7
-1,-2,-4,-25,-2,-11
-1,-2,-4,-23,-3,-4
-1,-2,-4,-17,-2,-19
-1,-2,-4,-13,-2,-71
-1,-2,-4,-9,-3,-10
-1,-2,-4,-7,-3,-52
-1,-2,-4,-5,-7,-26
-1,-2,-4,-5,-6,-67
-1,-2,-3,-97,-3,-7
-1,-2,-3,-56,-3,-8
-1,-2,-3,-47,-4,-5
-1,-2,-3,-17,-3,-47
-1,-2,-3,-16,-3,-88
-1,-2,-3,-11,-5,-16
-1,-2,-3,-11,-4,-77
-1,-2,-3,-8,-11,-16
-1,-2,-3,-8,-8,-35
-1,-2,-3,-8,-7,-92
-1,-2,-3,-7,-13,-72
-1,-2,-3,-7,-12,-133
