a1,a2,a3,a4,a5,a6
-1,-7,-2,-3,-2,-4
-1,-5,-2,-4,-2,-3
-1,-4,-2,-5,-2,-8
-1,-3,-2,-7,-6,-32
-1,-3,-2,-11,-2,-20
-1,-3,-2,-7,-8,-14
-1,-3,-2,-8,-4,-13
-1,-3,-3,-4,-2,-12
-1,-3,-2,-12,-2,-11
-1,-3,-2,-8,-5,-8
-1,-3,-2,-13,-2,-8
-1,-3,-2,-9,-4,-6
-1,-3,-2,-16,-2,-5
-1,-3,-2,-12,-3,-4
-1,-3,-2,-19,-2,-4
-1,-3,-2,-28,-2,-3
-1,-2,-3,-7,-12,-134
-1,-2,-3,-8,-7,-93
-1,-2,-3,-16,-3,-89
-1,-2,-3,-11,-4,-78
-1,-2,-4,-13,-2,-72
-1,-2,-4,-5,-6,-68
-1,-2,-5,-8,-2,-56
-1,-2,-4,-7,-3,-53
-1,-2,-3,-7,-14,-52
-1,-2,-4,-14,-2,-39
-1,-2,-3,-10,-5,-29
-1,-2,-4,-6,-4,-29
-1,-2,-4,-15,-2,-28
-1,-2,-6,-7,-2,-20
-1,-2,-4,-5,-8,-18
-1,-2,-4,-18,-2,-17
-1,-2,-4,-6,-5,-12
-1,-2,-4,-23,-2,-12
-1,-2,-3,-10,-7,-11
-1,-2,-4,-7,-4,-10
-1,-2,-4,-34,-2,-9
-1,-2,-4,-10,-3,-8
-1,-2,-4,-45,-2,-8
-1,-2,-5,-14,-2,-8
-1,-2,-3,-16,-5,-7
-1,-2,-3,-98,-3,-7
-1,-2,-4,-78,-2,-7
-1,-2,-3,-29,-4,-6
-1,-2,-5,-6,-4,-6
-1,-2,-4,-15,-3,-5
-1,-2,-6,-16,-2,-5
-1,-2,-6,-8,-3,-4
-1,-2,-6,-31,-2,-4
-1,-2,-7,-18,-2,-4
-1,-2,-8,-58,-2,-3
-1,-2,-10,-24,-2,-3
