+ 0 + 13 + 113 + 178 + 239 + 330 + 630 + 773 + 895 + 1 64	+ 1 564
+ 0 + 41 + 114 + 278 + 307 + 553 + 772 + 1 141 + 1 199 + 1 650	+ 2 15
+ 0 + 27 + 54 + 153 + 162 + 315 + 396 + 621 + 639 + 918	+ 1 53
+ 0 + 9 + 71 + 116 + 151 + 214 + 400 + 499 + 569 + 686	+ 996
+ 0 + 39 + 106 + 198 + 457 + 627 + 828 + 1 51 + 1 569 + 1 870	+ 2 205
+ 0 + 9 + 346 + 427 + 528 + 627 + 1 638 + 1 809 + 2 11 + 2 200	+ 3 885
+ 0 + 39 + 59 + 157 + 254 + 430 + 490 + 725 + 919 + 1 232	+ 1 332
+ 0 + 11 + 31 + 53 + 166 + 210 + 270 + 325 + 551 + 628	+ 728
+ 0 + 63 + 180 + 432 + 483 + 861 + 1 212 + 1 779 + 1 881 + 2 574	+ 3 159
+ 0 + 14 + 109 + 179 + 232 + 330 + 615 + 769 + 875 + 1 57	+ 1 532
+ 0 + 38 + 210 + 353 + 552 + 771 + 1 287 + 1 611 + 2 9 + 2 409	+ 3 269
+ 0 + 3 + 8 + 14 + 43 + 55 + 70 + 85 + 143 + 164	+ 189
+ 0 + 21 + 37 + 79 + 206 + 290 + 338 + 443 + 697 + 844	+ 924
+ 0 + 21 + 177 + 261 + 434 + 560 + 1 28 + 1 217 + 1 563 + 1 794	+ 2 574
+ 0 + 9 + 53 + 74 + 221 + 260 + 392 + 443 + 737 + 806	+ 1 26
+ 0 + 4 + 83 + 103 + 170 + 198 + 435 + 479 + 613 + 665	+ 1 60
+ 0 + 38 + 67 + 172 + 257 + 438 + 525 + 773 + 943 + 1 267	+ 1 412
+ 0 + 36 + 157 + 241 + 664 + 820 + 1 183 + 1 387 + 2 233 + 2 509	+ 3 114
+ 0 + 6 + 92 + 101 + 834 + 855 + 1 113 + 1 137 + 2 603 + 2 639	+ 3 69
+ 0 + 9 + 19 + 47 + 64 + 110 + 140 + 205 + 239 + 322	+ 372
+ 0 + 40 + 86 + 169 + 446 + 609 + 747 + 953 + 1 507 + 1 793	+ 2 23
+ 0 + 53 + 162 + 374 + 431 + 749 + 1 76 + 1 553 + 1 667 + 2 250	+ 2 795
+ 0 + 59 + 183 + 419 + 486 + 840 + 1 212 + 1 743 + 1 877 + 2 526	+ 3 146
+ 0 + 31 + 180 + 304 + 451 + 637 + 1 84 + 1 363 + 1 657 + 1 998	+ 2 743
+ 0 + 15 + 161 + 196 + 659 + 724 + 1 162 + 1 247 + 2 173 + 2 288	+ 3 18
+ 0 + 77 + 84 + 273 + 392 + 735 + 756 + 1 211 + 1 449 + 2 58	+ 2 93
+ 0 + 37 + 138 + 286 + 359 + 581 + 884 + 1 217 + 1 363 + 1 770	+ 2 275
+ 0 + 3 + 15 + 22 + 63 + 76 + 112 + 129 + 211 + 234	+ 294
+ 0 + 13 + 282 + 399 + 436 + 579 + 1 386 + 1 633 + 1 707 + 1 980	+ 3 325
+ 0 + 23 + 75 + 173 + 190 + 334 + 490 + 709 + 743 + 1 8	+ 1 268
+ 0 + 1 + 254 + 263 + 382 + 393 + 1 152 + 1 171 + 1 409 + 1 430	+ 2 695
+ 0 + 13 + 274 + 391 + 424 + 567 + 1 350 + 1 597 + 1 663 + 1 936	+ 3 241
+ 0 + 47 + 63 + 157 + 362 + 550 + 598 + 833 + 1 243 + 1 572	+ 1 652
+ 0 + 7 + 153 + 181 + 364 + 406 + 844 + 907 + 1 273 + 1 350	+ 2 80
+ 0 + 55 + 166 + 304 + 661 + 909 + 1 242 + 1 573 + 2 287 + 2 728	+ 3 283
+ 0 + 46 + 83 + 152 + 793 + 954 + 1 65 + 1 249 + 2 531 + 2 807	+ 2 992
+ 0 + 9 + 25 + 43 + 134 + 170 + 218 + 263 + 445 + 508	+ 588
+ 0 + 10 + 214 + 304 + 331 + 441 + 1 53 + 1 243 + 1 297 + 1 507	+ 2 527
+ 0 + 6 + 50 + 81 + 104 + 147 + 279 + 347 + 393 + 473	+ 693
+ 0 + 25 + 149 + 274 + 323 + 498 + 870 + 1 145 + 1 243 + 1 568	+ 2 188
+ 0 + 7 + 154 + 217 + 238 + 315 + 756 + 889 + 931 + 1 78	+ 1 813
+ 0 + 81 + 107 + 296 + 509 + 860 + 938 + 1 397 + 1 823 + 2 444	+ 2 574
+ 0 + 41 + 138 + 302 + 363 + 609 + 900 + 1 269 + 1 391 + 1 842	+ 2 327
+ 0 + 35 + 78 + 152 + 393 + 537 + 666 + 849 + 1 331 + 1 584	+ 1 799
+ 0 + 26 + 72 + 111 + 674 + 765 + 903 + 1 7 + 2 133 + 2 289	+ 2 519
+ 0 + 20 + 93 + 193 + 206 + 346 + 565 + 785 + 811 + 1 71	+ 1 436
+ 0 + 14 + 95 + 116 + 869 + 918 + 1 161 + 1 217 + 2 723 + 2 807	+ 3 212
+ 0 + 35 + 72 + 203 + 212 + 413 + 524 + 821 + 839 + 1 206	+ 1 391
+ 0 + 53 + 162 + 296 + 639 + 879 + 1 206 + 1 527 + 2 213 + 2 640	+ 3 185
+ 0 + 22 + 48 + 81 + 454 + 531 + 609 + 697 + 1 443 + 1 575	+ 1 705
+ 0 + 48 + 141 + 253 + 612 + 820 + 1 99 + 1 371 + 2 89 + 2 457	+ 2 922
+ 0 + 20 + 194 + 311 + 374 + 531 + 1 53 + 1 307 + 1 433 + 1 727	+ 2 597
+ 0 + 7 + 30 + 58 + 77 + 119 + 188 + 251 + 289 + 366	+ 481
+ 0 + 13 + 60 + 86 + 313 + 365 + 506 + 571 + 1 25 + 1 116	+ 1 351
+ 0 + 18 + 86 + 113 + 792 + 855 + 1 59 + 1 131 + 2 489 + 2 597	+ 2 937
+ 0 + 27 + 35 + 97 + 170 + 286 + 310 + 461 + 607 + 812	+ 852
+ 0 + 7 + 210 + 238 + 497 + 539 + 1 148 + 1 211 + 1 729 + 1 806	+ 2 821
+ 0 + 57 + 77 + 211 + 362 + 610 + 670 + 995 + 1 297 + 1 736	+ 1 836
+ 0 + 23 + 123 + 238 + 269 + 430 + 730 + 983 + 1 45 + 1 344	+ 1 844
+ 0 + 71 + 82 + 194 + 721 + 975 + 1 8 + 1 303 + 2 357 + 2 794	+ 2 849
+ 0 + 38 + 246 + 407 + 588 + 825 + 1 449 + 1 809 + 2 171 + 2 607	+ 3 647
+ 0 + 31 + 150 + 274 + 381 + 567 + 924 + 1 203 + 1 417 + 1 758	+ 2 353
+ 0 + 16 + 123 + 203 + 262 + 374 + 695 + 871 + 989 + 1 197	+ 1 732
+ 0 + 51 + 55 + 174 + 271 + 492 + 504 + 793 + 987 + 1 378	+ 1 398
+ 0 + 21 + 149 + 254 + 319 + 466 + 850 + 1 81 + 1 211 + 1 484	+ 2 124
+ 0 + 27 + 61 + 124 + 271 + 388 + 490 + 643 + 937 + 1 144	+ 1 314
+ 0 + 47 + 48 + 142 + 287 + 475 + 478 + 713 + 1 3 + 1 332	+ 1 337
+ 0 + 17 + 314 + 467 + 488 + 675 + 1 566 + 1 889 + 1 931 + 2 288	+ 3 773
+ 0 + 19 + 161 + 256 + 341 + 474 + 900 + 1 109 + 1 279 + 1 526	+ 2 236
+ 0 + 9 + 109 + 154 + 227 + 290 + 590 + 689 + 835 + 952	+ 1 452
+ 0 + 1 + 29 + 34 + 59 + 66 + 150 + 161 + 211 + 224	+ 364
+ 0 + 23 + 129 + 221 + 324 + 462 + 780 + 987 + 1 193 + 1 446	+ 1 976
+ 0 + 17 + 130 + 212 + 283 + 399 + 738 + 919 + 1 61 + 1 276	+ 1 841
+ 0 + 7 + 54 + 82 + 133 + 175 + 316 + 379 + 481 + 558	+ 793
+ 0 + 39 + 117 + 273 + 312 + 546 + 780 + 1 131 + 1 209 + 1 638	+ 2 28
+ 0 + 36 + 134 + 237 + 458 + 633 + 927 + 1 169 + 1 611 + 1 925	+ 2 415
+ 0 + 11 + 258 + 357 + 398 + 519 + 1 260 + 1 469 + 1 551 + 1 782	+ 3 17
+ 0 + 13 + 89 + 115 + 458 + 510 + 738 + 803 + 1 489 + 1 580	+ 1 960
+ 0 + 17 + 158 + 254 + 311 + 441 + 864 + 1 73 + 1 187 + 1 430	+ 2 135
